Table,Variable Name,Units or Categories,Description
"fish, inverts, events",X,NA,unique identifiers
"fish, inverts, events",organization,categorical,organization data were collected by
"fish, inverts, events",work_area,categorical,larger region data were collected within
"fish, inverts, events",project,categorical,umbrella project data were collected under
"fish, inverts, events",survey,categorical,local site location data were collected at
"fish, inverts, events",site_id,categorical,transect location data were collected from
"fish, inverts, events",date,yyyy-mm-dd,date on which data were collected
"fish, inverts",sampling_bout,numeric,"sample iteration; when multiple of the same sample type were collected on the same day at the same survey location, bout number will increase incrementally"
"fish, inverts",dive_supervisor,"categorical, names",technician that served as dive supervisor during data collection
"fish, inverts",collector,"categorical, names",technician that performed data collection
"fish, inverts",collection_id,categorical,"unique identifying code for the sampling event - this code comprises the sample type, date, site id, and transect number"
"fish, inverts, events",hakai_id,5 digit numeric,"unique identifying number for bulk field sample - this number generally identifies a seagrass shoot, as well as all the diatoms, mesograzers, and epiphytes that will later become separate samples; in the absence of a physical field sample, the hakai ID is autogenerated based on metadata from the observation"
"fish, inverts",sample_type,categorical,"identifies between different survey types (ie. seagrass_habitat, seagrass_density, fish, invertebrates)"
"fish, inverts",depth,meters,"depth, in meters, at time and location of observation/sampling; depths are raw, and not corrected for tides at time of observation/sampling"
"fish, inverts",transect_dist,"categorical, numeric range","range of distances along transect observations apply to (ie. 0m - 5m, 5m - 10m, ..., 25m - 30m)"
"fish, inverts",collected_start,yyyy-mm-dd hh:mm:ss,local time at which observations began for given sampling instance
"fish, inverts",collected_end,yyyy-mm-dd hh:mm:ss,local time at which observations finished for given sampling instance
"fish, inverts",species,categorical,taxonomic species observed
"fish, inverts",quantity,numeric,number of individuals in observation
fish,length_cm,numeric,length of individual(s) in observation in centimetres
inverts,size_cm,numeric,length of individual(s) in observation in centimetres
fish,estimated_quantity,categorical,indicates whether the quantity recorded is an estimate
events,field_staff,categorical,names of all field staff present
events,gather_lat,categorical,latitude on which data were collected
events,gather_long,categorical,longitude on which data were collected
events,vessel,categorical,vessel from which data were collected
"fish, inverts, events",comments,character,any comments pertaining to the sample
"fish, inverts, events",quality_log,character,comments pertaining to the QC status of the data
fish,qc_flag_lengths,categorical,"informative labels for fish length data, based on Hakai Quality Flags: AV (within mean ± 2 standard deviations), SVC (within mean ± 2.5 standard deviations), SVD (not within mean ± 2.5 standard deviations)"
inverts,qc_flag_sizes,categorical,"informative labels for invertebrate size data, based on Hakai Quality Flags: AV (within mean ± 2 standard deviations), SVC (within mean ± 2.5 standard deviations), SVD (not within mean ± 2.5 standard deviations)"
"fish, inverts",qc_flag_abunds,categorical,"informative labels for fish and invertebrate abundances (quantity grouped by species and transect) , based on Hakai Quality Flags: AV (within mean ± 2 standard deviations), SVC (within mean ± 2.5 standard deviations), SVD (not within mean ± 2.5 standard deviations)"
