"","action","work_area","organization","project","date","site_id","sampling_bout","survey","hakai_id","field_staff","gather_lat","gather_long","vessel","samples","quality_level","comments","quality_log"
"1",NA,"CALVERT","HAKAI","MARINEGEO",2015-05-27,"CHOKED_PASS_EDGE10",10,"CHOKED_PASS","2015-05-27_CHOKED_PASS_EDGE10_10",NA,NA,NA,NA,NA,"Raw",NA,NA
"2",NA,"CALVERT","HAKAI","MARINEGEO",2015-05-27,"CHOKED_PASS_EDGE12",12,"CHOKED_PASS","2015-05-27_CHOKED_PASS_EDGE12_12",NA,NA,NA,NA,NA,"Raw",NA,NA
"3",NA,"CALVERT","HAKAI","MARINEGEO",2015-05-27,"CHOKED_PASS_EDGE3",3,"CHOKED_PASS","2015-05-27_CHOKED_PASS_EDGE3_3",NA,NA,NA,NA,NA,"Raw",NA,NA
"4",NA,"CALVERT","HAKAI","MARINEGEO",2015-05-27,"CHOKED_PASS_EDGE7",7,"CHOKED_PASS","2015-05-27_CHOKED_PASS_EDGE7_7",NA,NA,NA,NA,NA,"Raw",NA,NA
"5",NA,"CALVERT","HAKAI","MARINEGEO",2015-05-28,"CHOKED_PASS_EDGE11",11,"CHOKED_PASS","2015-05-28_CHOKED_PASS_EDGE11_11",NA,NA,NA,NA,NA,"Raw",NA,NA
"6",NA,"CALVERT","HAKAI","MARINEGEO",2015-05-29,"CHOKED_PASS_EDGE1",1,"CHOKED_PASS","2015-05-29_CHOKED_PASS_EDGE1_1",NA,NA,NA,NA,NA,"Raw",NA,NA
"7",NA,"CALVERT","HAKAI","MARINEGEO",2015-05-29,"CHOKED_PASS_EDGE8",8,"CHOKED_PASS","2015-05-29_CHOKED_PASS_EDGE8_8",NA,NA,NA,NA,NA,"Raw",NA,NA
"8",NA,"CALVERT","HAKAI","MARINEGEO",2015-05-31,"CHOKED_PASS_INTERIOR5",5,"CHOKED_PASS","2015-05-31_CHOKED_PASS_INTERIOR5_5",NA,NA,NA,NA,NA,"Raw",NA,NA
"9",NA,"CALVERT","HAKAI","MARINEGEO",2015-05-31,"CHOKED_PASS_INTERIOR6",6,"CHOKED_PASS","2015-05-31_CHOKED_PASS_INTERIOR6_6",NA,NA,NA,NA,NA,"Raw",NA,NA
"10",NA,"CALVERT","HAKAI","MARINEGEO",2015-05-31,"CHOKED_PASS_INTERIOR9",9,"CHOKED_PASS","2015-05-31_CHOKED_PASS_INTERIOR9_9",NA,NA,NA,NA,NA,"Raw",NA,NA
"11",NA,"CALVERT","HAKAI","MARINEGEO",2015-06-01,"CHOKED_PASS_INTERIOR4",4,"CHOKED_PASS","2015-06-01_CHOKED_PASS_INTERIOR4_4",NA,NA,NA,NA,NA,"Raw",NA,NA
"12",NA,"CALVERT","HAKAI","MARINEGEO",2015-06-24,"TRIQUET_BAY_EDGE1",1,"TRIQUET_BAY","2015-06-24_TRIQUET_BAY_EDGE1_1",NA,NA,NA,NA,NA,"Raw",NA,NA
"13",NA,"CALVERT","HAKAI","MARINEGEO",2015-06-24,"TRIQUET_BAY_EDGE2",2,"TRIQUET_BAY","2015-06-24_TRIQUET_BAY_EDGE2_2",NA,NA,NA,NA,NA,"Raw",NA,NA
"14",NA,"CALVERT","HAKAI","MARINEGEO",2015-06-24,"TRIQUET_BAY_EDGE3",3,"TRIQUET_BAY","2015-06-24_TRIQUET_BAY_EDGE3_3",NA,NA,NA,NA,NA,"Raw",NA,NA
"15",NA,"CALVERT","HAKAI","MARINEGEO",2015-06-24,"TRIQUET_BAY_INTERIOR4",4,"TRIQUET_BAY","2015-06-24_TRIQUET_BAY_INTERIOR4_4",NA,NA,NA,NA,NA,"Raw",NA,NA
