"","action","organization","work_area","project","survey","site_id","date","sampling_bout","dive_supervisor","collector","hakai_id","sample_type","depth","transect_dist","collected_start","collected_end","species","quantity","length_cm","estimated_quantity","comments","quality_log"
"1",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_INTERIOR5",2017-11-22,5,"gillian","derek","MGFSH17299","fish",NA,NA,2017-11-22 21:26:42,2017-11-22 21:30:20,"flounder/starry",1,35,FALSE,NA,NA
"2",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_INTERIOR5",2017-11-22,5,"gillian","zach","MGFSH17300","fish",NA,NA,2017-11-22 21:31:37,2017-11-22 21:34:56,"flounder/starry",1,40,FALSE,NA,NA
"3",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE1",2017-11-22,1,"gillian","derek","MGFSH17301","fish",NA,NA,2017-11-21 18:15:19,2017-11-21 18:19:53,"no_obs",NA,NA,NA,NA,"1: No fish observed"
"4",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE1",2017-11-22,1,"gillian","zach","MGFSH17302","fish",NA,NA,2017-11-21 18:20:50,2017-11-21 18:24:10,"no_obs",NA,NA,NA,NA,"1: No fish observed"
"5",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE3",2017-11-22,3,"gillian","zach","MGFSH17303","fish",NA,NA,2017-11-22 19:22:54,2017-11-22 19:24:14,"no_obs",NA,NA,NA,NA,"1: No fish observed"
"6",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE3",2017-11-22,3,"gillian","derek","MGFSH17304","fish",NA,NA,2017-11-22 19:18:36,2017-11-22 19:22:51,"greenling/kelp",1,20,FALSE,NA,NA
"7",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_INTERIOR6",2017-11-22,6,"gillian","derek","MGFSH17305","fish",NA,NA,2017-11-22 08:35:40,2017-11-22 08:40:04,"flounder/starry",1,50,FALSE,NA,NA
"8",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_INTERIOR6",2017-11-22,6,"gillian","zach","MGFSH17306","fish",NA,NA,2017-11-22 20:41:50,2017-11-22 20:44:18,"no_obs",NA,NA,NA,NA,"1: No fish observed"
"9",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE7",2017-11-22,7,"gillian","derek","MGFSH17307","fish",NA,NA,2017-11-22 20:06:39,2017-11-22 20:10:04,"no_obs",NA,NA,NA,NA,"1: No fish observed"
"10",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE7",2017-11-22,7,"gillian","zach","MGFSH17308","fish",NA,NA,2017-11-22 20:10:36,2017-11-22 20:13:53,"no_obs",NA,NA,NA,NA,"1: No fish observed"
"11",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_INTERIOR4",2017-11-22,4,"gillian","derek","MGFSH17309","fish",NA,NA,2017-11-22 21:01:08,2017-11-22 21:05:27,"no_obs",NA,NA,NA,NA,"1: No fish observed"
"12",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_INTERIOR4",2017-11-22,4,"gillian","zach","MGFSH17310","fish",NA,NA,2017-11-22 21:06:11,2017-11-22 21:09:35,"flounder/starry",1,50,FALSE,NA,NA
"13",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE2",2017-11-22,2,"gillian","derek","MGFSH17311","fish",NA,NA,2017-11-22 18:44:51,2017-11-22 18:48:17,"flounder/starry",1,40,FALSE,NA,NA
"14",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE2",2017-11-22,2,"gillian","derek","MGFSH17312","fish",NA,NA,2017-11-22 18:44:51,2017-11-22 18:48:17,"sole/english",1,8,FALSE,NA,NA
"15",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE2",2017-11-22,2,"gillian","zach","MGFSH17313","fish",NA,NA,2017-11-22 18:49:36,2017-11-22 18:52:01,"flounder/starry",1,10,FALSE,NA,NA
"16",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE2",2017-11-22,2,"gillian","zach","MGFSH17314","fish",NA,NA,2017-11-22 18:49:36,2017-11-22 18:52:01,"flounder/starry",1,55,FALSE,NA,NA
"17",NA,"HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_EDGE1",2017-02-25,1,"Gillian","Zach","MGFSH24000","fish",NA,NA,2017-02-26 19:46:56,2017-02-25 19:50:06,"no_obs",NA,NA,NA,NA,"1: No fish observed"
"18",NA,"HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_EDGE1",2017-02-25,1,"Gillian","Derek","MGFSH24001","fish",NA,NA,2017-02-26 19:51:42,2017-02-26 19:55:56,"no_obs",NA,NA,NA,NA,"1: No fish observed"
"19",NA,"HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_EDGE2",2017-02-25,2,"Gillian","Zach","MGFSH24014","fish",NA,NA,2017-02-25 19:44:25,2017-02-25 19:49:16,"no_obs",NA,NA,NA,NA,"1: No fish observed"
"20",NA,"HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_EDGE2",2017-02-25,2,"Gillian","Derek","MGFSH76587","fish",NA,NA,2017-02-25 19:33:57,2017-02-25 19:37:15,"flounder sole dab",1,2,FALSE,NA,NA
"21",NA,"HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_EDGE3",2017-02-25,3,"Gillian","Zach","MGFSH24003","fish",NA,NA,2017-02-25 19:10:09,2017-02-25 19:14:27,"no_obs",NA,NA,NA,NA,"1: No fish observed"
"22",NA,"HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_EDGE3",2017-02-25,3,"Gillian","Derek","MGFSH76589","fish",NA,NA,2017-02-25 19:15:59,2017-02-25 19:19:05,"flounder sole dab",1,2,FALSE,NA,NA
"23",NA,"HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_EDGE3",2017-02-25,3,"Gillian","Derek","MGFSH38372","fish",NA,NA,2017-02-25 19:15:59,2017-02-25 19:19:05,"flounder sole dab",2,3,FALSE,NA,NA
"24",NA,"HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_INTERIOR4",2017-02-25,4,"Gillian","Derek","MGFSH76591","fish",NA,NA,2017-02-25 18:32:09,2017-02-25 18:37:16,"flounder sole dab",1,3,FALSE,NA,NA
"25",NA,"HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_INTERIOR4",2017-02-25,4,"Gillian","Zach","MGFSH24007","fish",NA,NA,2017-02-25 18:27:31,2017-02-25 18:31:48,"no_obs",NA,NA,NA,NA,"1: No fish observed"
"26",NA,"HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_INTERIOR5",2017-02-25,5,"Gillian","Derek","MGFSH24008","fish",NA,NA,2017-02-25 18:08:50,2017-02-25 18:13:58,"no_obs",NA,NA,NA,NA,"1: No fish observed"
"27",NA,"HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_INTERIOR5",2017-02-25,5,"Gillian","Kyle","MGFSH24009","fish",NA,NA,2017-02-25 18:13:29,2017-02-25 18:15:35,"no_obs",NA,NA,NA,NA,"1: No fish observed"
"28",NA,"HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_INTERIOR6",2017-02-25,6,"Gillian","Derek","MGFSH24010","fish",NA,NA,2017-02-25 17:42:53,2017-02-25 17:46:04,"no_obs",NA,NA,NA,NA,"1: No fish observed"
"29",NA,"HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_INTERIOR6",2017-02-25,6,"Gillian","Kyle","MGFSH24011","fish",NA,NA,2017-02-25 17:49:41,2017-02-26 17:52:56,"no_obs",NA,NA,NA,NA,"1: No fish observed"
"30",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE1",2019-08-06,1,"angeleen,carolyn","derek","MGFSH30527","fish",NA,NA,2019-08-06 16:01:01,2019-08-06 16:05:07,"rockfish/cqb",1,3,FALSE,NA,NA
"31",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE1",2019-08-06,1,"angeleen,carolyn","derek","MGFSH30528","fish",NA,NA,2019-08-06 16:01:01,2019-08-06 16:05:07,"rockfish/cqb",11,2,FALSE,NA,NA
"32",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE1",2019-08-06,1,"angeleen,carolyn","derek","MGFSH30529","fish",NA,NA,2019-08-06 16:01:01,2019-08-06 16:05:07,"perch/shiner",10,3,FALSE,NA,NA
"33",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE1",2019-08-06,1,"angeleen,carolyn","derek","MGFSH30530","fish",NA,NA,2019-08-06 16:01:01,2019-08-06 16:05:07,"rockfish/black-yellowtail_complex",2,2,FALSE,NA,NA
"34",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE1",2019-08-06,1,"angeleen,carolyn","derek","MGFSH30531","fish",NA,NA,2019-08-06 16:01:01,2019-08-06 16:05:07,"rockfish/black-yellowtail_complex",4,3,FALSE,NA,NA
"35",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE1",2019-08-06,1,"angeleen,carolyn","derek","MGFSH30532","fish",NA,NA,2019-08-06 16:01:01,2019-08-06 16:05:07,"rockfish/black-yellowtail_complex",1,4,FALSE,NA,NA
"36",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE1",2019-08-06,1,"angeleen,carolyn","derek","MGFSH30533","fish",NA,NA,2019-08-06 16:01:01,2019-08-06 16:05:07,"rockfish/copper",1,15,FALSE,NA,NA
"37",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE1",2019-08-06,1,"angeleen,carolyn","derek","MGFSH30534","fish",NA,NA,2019-08-06 16:01:01,2019-08-06 16:05:07,"rockfish/copper",1,5,FALSE,NA,NA
"38",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE1",2019-08-06,1,"angeleen,carolyn","derek","MGFSH30535","fish",NA,NA,2019-08-06 16:01:01,2019-08-06 16:05:07,"tubesnout",20,7,FALSE,NA,NA
"39",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE1",2019-08-06,1,"angeleen,carolyn","derek","MGFSH30536","fish",NA,NA,2019-08-06 16:01:01,2019-08-06 16:05:07,"greenling/kelp",1,7,FALSE,NA,NA
"40",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE1",2019-08-06,1,"angeleen,carolyn","derek","MGFSH30537","fish",NA,NA,2019-08-06 16:01:01,2019-08-06 16:05:07,"greenling/kelp",1,15,FALSE,NA,NA
"41",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE1",2019-08-06,1,"angeleen,carolyn","zach","MGFSH30538","fish",NA,NA,2019-08-06 16:08:30,2019-08-06 16:14:45,"perch/shiner",16,10,FALSE,NA,NA
"42",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE1",2019-08-06,1,"angeleen,carolyn","zach","MGFSH30539","fish",NA,NA,2019-08-06 16:08:30,2019-08-06 16:14:45,"rockfish/copper",1,13,FALSE,NA,NA
"43",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE1",2019-08-06,1,"angeleen,carolyn","zach","MGFSH30540","fish",NA,NA,2019-08-06 16:08:30,2019-08-06 16:14:45,"rockfish/copper",1,4,FALSE,NA,NA
"44",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE1",2019-08-06,1,"angeleen,carolyn","zach","MGFSH30541","fish",NA,NA,2019-08-06 16:08:30,2019-08-06 16:14:45,"rockfish/copper",1,5,FALSE,NA,NA
"45",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE1",2019-08-06,1,"angeleen,carolyn","zach","MGFSH30542","fish",NA,NA,2019-08-06 16:08:30,2019-08-06 16:14:45,"rockfish/cqb",4,3,FALSE,NA,NA
"46",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE1",2019-08-06,1,"angeleen,carolyn","zach","MGFSH30543","fish",NA,NA,2019-08-06 16:08:30,2019-08-06 16:14:45,"rockfish/cqb",12,4,FALSE,NA,NA
"47",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE1",2019-08-06,1,"angeleen,carolyn","zach","MGFSH30544","fish",NA,NA,2019-08-06 16:08:30,2019-08-06 16:14:45,"rockfish/black-yellowtail_complex",1,6,FALSE,NA,NA
"48",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE1",2019-08-06,1,"angeleen,carolyn","zach","MGFSH30545","fish",NA,NA,2019-08-06 16:08:30,2019-08-06 16:14:45,"rockfish/black-yellowtail_complex",1,7,FALSE,NA,NA
"49",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE1",2019-08-06,1,"angeleen,carolyn","zach","MGFSH30546","fish",NA,NA,2019-08-06 16:08:30,2019-08-06 16:14:45,"rockfish/black-yellowtail_complex",1,8,FALSE,NA,NA
"50",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE1",2019-08-06,1,"angeleen,carolyn","zach","MGFSH30547","fish",NA,NA,2019-08-06 16:08:30,2019-08-06 16:14:45,"tubesnout",1,4,FALSE,NA,NA
"51",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE1",2019-08-06,1,"angeleen,carolyn","zach","MGFSH30548","fish",NA,NA,2019-08-06 16:08:30,2019-08-06 16:14:45,"greenling/kelp",1,11,FALSE,NA,NA
"52",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE1",2019-08-06,1,"angeleen,carolyn","zach","MGFSH30549","fish",NA,NA,2019-08-06 16:08:30,2019-08-06 16:14:45,"greenling/kelp",1,13,FALSE,NA,NA
"53",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE1",2019-08-06,1,"angeleen,carolyn","zach","MGFSH30550","fish",NA,NA,2019-08-06 16:08:30,2019-08-06 16:14:45,"greenling/kelp",1,24,FALSE,NA,NA
"54",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE1",2019-08-06,1,"angeleen,carolyn","zach","MGFSH30551","fish",NA,NA,2019-08-06 16:08:30,2019-08-06 16:14:45,"unknown cod",2,7,FALSE,NA,NA
