"","action","organization","work_area","project","survey","site_id","date","sampling_bout","dive_supervisor","collector","hakai_id","sample_type","depth","transect_dist","collected_start","collected_end","species","quantity","size_cm","comments","quality_log"
"1",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE2",2017-06-11,2,"gillian","zach","MGINV172","invertebrates",NA,NA,2017-06-11 21:41:23,2017-06-11 21:46:36,"crab/red_rock",1,15,NA,NA
"2",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE2",2017-06-11,2,"gillian","derek","MGINV867","invertebrates",NA,NA,2017-06-11 21:48:57,2017-06-11 21:51:27,"crab/pugettia",1,4,NA,NA
"3",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE2",2017-11-22,2,"gillian","zach","MGINV10139","invertebrates",NA,NA,2017-11-22 18:45:59,2017-11-22 18:48:25,"no_obs",NA,NA,NA,"1: No invertebrates observed"
"4",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE2",2017-11-22,2,"gillian","derek","MGINV13791","invertebrates",NA,NA,2017-11-22 18:49:56,2017-11-22 18:53:19,"crab/pugettia",3,4,NA,NA
"5",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE2",2017-11-22,2,"gillian","derek","MGINV13790","invertebrates",NA,NA,2017-11-22 18:49:56,2017-11-22 18:53:19,"crab/pugettia",1,3,NA,NA
"6",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE2",2017-11-22,2,"gillian","derek","MGINV13789","invertebrates",NA,NA,2017-11-22 18:49:56,2017-11-22 18:53:19,"crab/northern_kelp",3,6,NA,NA
"7",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE2",2017-11-22,2,"gillian","derek","MGINV13788","invertebrates",NA,NA,2017-11-22 18:49:56,2017-11-22 18:53:19,"snail/other",11,2,NA,"1: Purple olive"
"8",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE2",2017-11-22,2,"gillian","derek","MGINV13787","invertebrates",NA,NA,2017-11-22 18:49:56,2017-11-22 18:53:19,"crab/hermit",2,8,NA,NA
"9",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE2",2017-11-22,2,"gillian","derek","MGINV13786","invertebrates",NA,NA,2017-11-22 18:49:56,2017-11-22 18:53:19,"crab/hermit",1,7,NA,NA
"10",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE2",2017-11-22,2,"gillian","derek","MGINV13785","invertebrates",NA,NA,2017-11-22 18:49:56,2017-11-22 18:53:19,"crab/hermit",8,3,NA,NA
