fish,inverts,divers,techs
cod/pacific,anemone/painted,andrew,angeleen
cod/pacific_tomcod,chiton/gumboot,ben,carolyn
cod/unknown,chiton/unknown,derek,derek
flatfish/soledab,clam/purple_velvet,kyle,gillian
flatfish/unknown,crab/cancer,lauran,kaia
flounder/arrow_tooth,crab/cryptic_kelp,neha,krystal
flounder/pacific_sanddab,crab/decorator,ondine,kyle
flounder/starry,crab/dungeness,tanya,lauran
flounder/unknown,crab/elassochirus,zach,margot
goby/bay,crab/graceful,other,neha
goby/blackeye,crab/graceful_kelp,,ondine
goby/unknown,crab/helmet,,tanya
greenling/kelp,crab/hermit,,tyrel
greenling/lingcod,crab/kelp,,zach
greenling/painted,crab/majidae,,other
greenling/rock,crab/northern_kelp,,"angeleen,carolyn"
greenling/white-spotted,crab/other,,"angeleen,carolyn,krystal"
greenling/unknown,crab/pugettia,,"angeleen,carolyn,zach"
gunnel/crescent,crab/red_rock,,"angeleen,gillian"
gunnel/penpoint,crab/unknown,,"angeleen,gillian,zach"
gunnel/unknown,isopod/idotea,,"angeleen,krystal"
herring/pacific,nudibranch/dendronotus,,"angeleen,other"
other,nudibranch/melibe,,"angeleen,zach"
perch/kelp,nudibranch/other,,"carolyn,gillian"
perch/pile,seacucumber/california,,"carolyn,krystal"
perch/shiner,seacucumber/other,,"derek,kyle"
perch/striped,seapen/orange,,"gillian,krystal"
perch/unknown,seastar/crossaster,,"kyle,zach"
pipefish/bay,seastar/dermasterias,,
prickleback/snake,seastar/evasterias,,
rockfish/black,seastar/henricia,,
rockfish/black-yellowtail_complex,seastar/leptasterias,,
rockfish/bocaccio,seastar/mediaster,,
rockfish/brown,seastar/orthasterias,,
rockfish/canary,seastar/other,,
rockfish/china,seastar/pisaster_brevispinus,,
rockfish/copper,seastar/pisaster_ochraceus,,
rockfish/cqb,seastar/pycnopodia,,
rockfish/deacon,seastar/solaster,,
rockfish/quillback,shrimp/pandalus,,
rockfish/vermillion,siphon/cockle,,
rockfish/yellowtail,siphon/geoduck,,
rockfish/unknown,siphon/horse_clam,,
salmon/coho,siphon/other,,
salmon/unknown,siphon/unknown,,
sandlance/pacific,snail/astyris,,
sculpin/artedius,snail/bubble,,
sculpin/buffalo,snail/calliostoma,,
sculpin/cabezon,snail/certostoma,,
sculpin/great,snail/dire_whelk,,
sculpin/manacled,snail/lacuna,,
sculpin/padded,snail/moon,,
sculpin/red_irish_lord,snail/other,,
sculpin/silver-spotted,snail/pomaulax,,
sculpin/staghorn,snail/purple_olive,,
sculpin/tidepool,snail/tegula,,
sculpin/unknown,snail/unknown,,
skate/big,urchin/sand_dollar,,
skate/unknown,worm/other,,
snailfish/unknown,other,,
sole/c-o,unknown,,
sole/english,,,
sole/rock,,,
sole/sand,,,
sole/unknown,,,
threespine_stickleback,,,
tubesnout,,,
unknown,,,
