fish_name,fish_replace,inverts_name,inverts_replace,divers_name,divers_replace,techs_name,techs_replace
arrow tooth flounder,flounder/arrow_tooth,anemone Painted,anemone/painted,Andrew,andrew,angeleen.olson;carolyn;krystal,"angeleen,carolyn,krystal"
bay goby,goby/bay,astraea,snail/pomaulax,Derek,derek,angeleen;angeleen.olson,angeleen
bay_pipefish,pipefish/bay,chiton,chiton/unknown,derek.vanmaanen,derek,angeleen;Angeleen;carolyn;Carolyn,"angeleen,carolyn"
big skate,skate/big,chiton unknown,chiton/unknown,Kyle,kyle,angeleen;Angeleen;carolyn;Carolyn;zach;Zach,"angeleen,carolyn,zach"
c-o sole,sole/c-o,cockle,siphon/cockle,Ondine,ondine,angeleen;Angeleen;zach;Zach,"angeleen,zach"
cod Cod; other,cod/other,crab cancer,crab/cancer,Other,other,angeleen;carolyn,"angeleen,carolyn"
cod; other,cod/other,crab Dungeness,crab/dungeness,Zach,zach,angeleen;carolyn;krystal,"angeleen,carolyn,krystal"
deacon rockfish,rockfish/deacon,crab Hermit,crab/hermit,zach.monteith,zach,angeleen;gillian,"angeleen,gillian"
english sole,sole/english,crab Northern kelp,crab/northern_kelp,,,angeleen;gillian;zach,"angeleen,gillian,zach"
enso,sole/english,crab Pugettia,crab/pugettia,,,angeleen;krystal,"angeleen,krystal"
flounder sole dab,flatfish/soledab,crab pugettia richii,crab/pugettia_richii,,,angeleen;other,"angeleen,other"
flounder/c-o,sole/c-o,crab Red rock,crab/red_rock,,,carolyn;faye;krystal,"carolyn,faye,krystal"
flounder/sole_dab,flatfish/soledab,crab unknown,crab/unknown,,,carolyn;gillian,"carolyn,gillian"
goby bay,goby/bay,cryptochiton,chiton/gumboot,,,carolyn;krystal,"carolyn,krystal"
goby/blackeyed,goby/blackeye,cucumber stiff-footed,seacucumber/other,,,Derek,derek
greenling white spotted,greenling/white-spotted,dendronodid nudibranch8,nudibranch/dendronotus,,,derek;Derek;kyle;Kyle,"derek,kyle"
greenling/white_spotted,greenling/white-spotted,deri,seastar/dermasterias,,,derek;kyle,"derek,kyle"
pacific sand dab,flounder/pacific_sanddab,dire whelk,snail/dire_whelk,,,faye;krystal,"faye,krystal"
pacific sanddab,flounder/pacific_sanddab,Evastarias,seastar/evasterias,,,Gillian,gillian
painted greenling,greenling/painted,Evastarious,seastar/evasterias,,,gillian;gillian.sadlierbrown,gillian
pasa,flounder/pacific_sanddab,gumboot chiton,chiton/gumboot,,,gillian;krystal,"gillian,krystal"
prickleback snake,prickleback/snake,Idotia,isopod/idotea,,,kyle;zach,"kyle,zach"
rock sole,sole/rock,leptasterias,seastar/leptasterias,,,zach;Zach,zach
rockfish deacon,rockfish/deacon,lycopodium,seastar/pycnopodia,,,,
rockfish decan,rockfish/deacon,Mottled star,seastar/evasterias,,,,
rockfish declan,rockfish/deacon,Nucella,snail/other,,,,
rockfish/black_yellowtail_complex,rockfish/black-yellowtail_complex,nudibranch janalus fuscus,nudibranch/other,,,,
rockfish/boccaccio,rockfish/bocaccio,nudibranch Melabie,nudibranch/melibe,,,,
rockfish; deacon,rockfish/deacon,nudibranch unknown,nudibranch/unknown,,,,
sand sole,sole/sand,nudibranch/melabie,nudibranch/melibe,,,,
sanddab pacific,flounder/pacific_sanddab,paga,crab/hermit,,,,
skate,skate/unknown,pagarus,crab/hermit,,,,
sole,sole/unknown,pisaster ochraceas,seastar/pisaster_ochraceus,,,,
sole english,sole/english,pomalocks,snail/pomaulax,,,,
sole unknown,sole/unknown,pomelo,snail/pomaulax,,,,
soledad,flatfish/soledab,pomolox,snail/pomaulax,,,,
stickleback,threespine_stickleback,pugettia richii,crab/pugettia_richii,,,,
stickleback threespine,threespine_stickleback,Purple olive,snail/purple_olive,,,,
three spine stickleback (thst),threespine_stickleback,purple olive snail,snail/purple_olive,,,,
threespine stickleback,threespine_stickleback,purple velvet clam,clam/purple_velvet,,,,
threespine stickleback010,threespine_stickleback,sand dollar,urchin/sand_dollar,,,,
unknown cod,cod/unknown,sea cucumber,seacucumber/other,,,,
unknown flat,flatfish/unknown,sea star; dermasterias imbricata,seastar/dermasterias,,,,
unknown flatfish,flatfish/unknown,seapen,seapen/orange,,,,
unknown; cod,cod/unknown,seastar Dermasterias,seastar/dermasterias,,,,
vermillion rockfish,rockfish/vermillion,seastar dermasterias imbricata,seastar/dermasterias,,,,
white-spotted greenling,greenling/white-spotted,seastar Pycnopodia,seastar/pycnopodia,,,,
white spotted greenling,greenling/white-spotted,Segmented worm,worm/unknown,,,,
,,shrimp pandalus,shrimp/pandalus,,,,
,,siphon Geoduck,siphon/geoduck,,,,
,,siphon Horse clam,siphon/horse_clam,,,,
,,siphon unknown,siphon/unknown,,,,
,,snag carpet nudibranch,nudibranch/other,,,,
,,snail astraea,snail/pomaulax,,,,
,,snail tegula,snail/tegula,,,,
,,snail unknown,snail/unknown,,,,
,,whelk,snail/dire_whelk,,,,
,,white sea cucumber,seacucumber/other,,,,
